producto,presentacion,categoria,contexto,imagen,precio_publico,precio_mayorista
Melanotan II,Vial 10 mg,Vitalidad,Análogo de la α-MSH estudiado en investigación por su relación con la síntesis de melanina.,melanotan-ii-10.webp,235,
Kisspeptina-10,Vial 10 mg,Vitalidad,"Fragmento de 10 aminoácidos de la kisspeptina, investigado por su papel en la señalización del eje reproductivo y la liberación de GnRH.",kisspeptina-10-10.webp,275,
KLOW,Presentación única,Combos,"Blend de investigación en un solo vial: BPC-157 (10 mg), TB-500 (10 mg), KPV (10 mg) y GHK-Cu (50 mg). Formulado para estudios de barrera, recuperación y reparación.",klow-blend.webp,680,
GLOW 30,Presentación única,Combos,"Combinación de investigación en un solo vial de 30 mg totales: BPC-157 (5 mg), TB-500 (5 mg) y GHK-Cu (20 mg). Estudiada en el contexto de piel, cabello y reparación tisular.",glow-30-blend.webp,340,
GLOW 50,Presentación única,Combos,"Versión potenciada del blend regenerativo en un solo vial de 50 mg totales: BPC-157 (5 mg), TB-500 (10 mg) y GHK-Cu (35 mg). Estudiada en el contexto de piel, cabello y reparación tisular.",glow-50-blend.webp,470,
Wolverine,Vial 10 mg,Combos,Blend de reparación que combina BPC-157 y TB-500 en un mismo vial. La presentación de 10 mg contiene 5 mg de cada uno; la de 20 mg contiene 10 mg de cada uno. Estudiado en el contexto de recuperación de tejidos conectivos.,wolverine-10.webp,255,
Wolverine,Vial 20 mg,Combos,Blend de reparación que combina BPC-157 y TB-500 en un mismo vial. La presentación de 10 mg contiene 5 mg de cada uno; la de 20 mg contiene 10 mg de cada uno. Estudiado en el contexto de recuperación de tejidos conectivos.,wolverine-20.webp,440,
Agua Bacteriostática,Vial 3 ml,Accesorios,"Agua estéril con alcohol bencílico al 0.9%, libre de pirógenos, para la reconstitución de péptidos liofilizados en investigación.",agua-bacteriostatica-3.webp,10,
Agua Bacteriostática,Vial 10 ml,Accesorios,"Agua estéril con alcohol bencílico al 0.9%, libre de pirógenos, para la reconstitución de péptidos liofilizados en investigación.",agua-bacteriostatica-10.webp,15,
Follistatin-315,Vial 1 mg,Crecimiento,"Fragmento de la folistatina investigado por su capacidad de unir y neutralizar la miostatina, en el contexto del crecimiento y la reparación del músculo esquelético.",follistatin-315-1.webp,175,
GHRP-2,Vial 2 mg,Crecimiento,Secretagogo de la hormona de crecimiento (péptido liberador de GH) estudiado por estimular su secreción a través de la vía de la grelina.,ghrp-2-2.webp,175,
GHRP-2,Vial 5 mg,Crecimiento,Secretagogo de la hormona de crecimiento (péptido liberador de GH) estudiado por estimular su secreción a través de la vía de la grelina.,ghrp-2-5.webp,300,
GHRP-6,Vial 2 mg,Crecimiento,Péptido liberador de hormona de crecimiento investigado por inducir picos de GH y por su marcado efecto sobre el apetito.,ghrp-6-2.webp,175,
GHRP-6,Vial 5 mg,Crecimiento,Péptido liberador de hormona de crecimiento investigado por inducir picos de GH y por su marcado efecto sobre el apetito.,ghrp-6-5.webp,300,
Gonadorelina,Vial 5 mg,Crecimiento,Análogo de la GnRH investigado por su acción sobre la hipófisis para regular la liberación de LH y FSH del eje reproductivo.,gonadorelina-5.webp,215,
IGF-1 LR3,Vial 1 mg,Crecimiento,"Variante de larga duración del factor de crecimiento insulínico tipo 1, estudiada por su potente señalización anabólica sobre el crecimiento y la reparación celular.",igf-1-lr3-1.webp,435,
DSIP,Vial 5 mg,Cognición,"Péptido delta inductor del sueño, investigado por su relación con la arquitectura del sueño profundo y la modulación del estrés.",dsip-5.webp,175,
DSIP,Vial 10 mg,Cognición,"Péptido delta inductor del sueño, investigado por su relación con la arquitectura del sueño profundo y la modulación del estrés.",dsip-10.webp,300,
Dihexa,Vial 5 mg,Cognición,Derivado de la angiotensina IV investigado como potente nootrópico por su relación con la sinaptogénesis y el factor de crecimiento hepatocitario.,dihexa-5.webp,385,
Dihexa,Vial 10 mg,Cognición,Derivado de la angiotensina IV investigado como potente nootrópico por su relación con la sinaptogénesis y el factor de crecimiento hepatocitario.,dihexa-10.webp,700,
Oxitocina,Vial 10 mg,Cognición,"Nonapéptido neurohipofisario estudiado por su papel en el vínculo social, la confianza y la modulación del estado de ánimo.",oxitocina-10.webp,175,
PEG-MGF,Vial 5 mg,Recuperación,"Factor de crecimiento mecánico pegilado, investigado por su rol en la activación de células satélite y la reparación del músculo tras el esfuerzo.",peg-mgf-5.webp,355,
LL-37,Vial 5 mg,Longevidad,Péptido de la catelicidina humana investigado por su amplia actividad antimicrobiana y su papel en la inmunidad innata y la reparación tisular.,ll-37-5.webp,275,
Humanin,Vial 10 mg,Longevidad,Péptido derivado del ADN mitocondrial estudiado por su rol citoprotector y su relación con el metabolismo y el envejecimiento celular.,humanin-10.webp,685,
Melanotan I,Vial 10 mg,Vitalidad,Análogo de la α-MSH (afamelanotida) investigado por su relación con la síntesis de melanina y la fotoprotección de la piel.,melanotan-1-10.webp,235,
Livagen,Vial 20 mg,Longevidad,Bioregulador peptídico corto estudiado en investigación asociada a la función hepática y a la regulación celular.,livagen-20.webp,245,
Pancreagen,Vial 20 mg,Longevidad,Bioregulador peptídico investigado en el contexto del tejido pancreático y la regulación de su función.,pancreagen-20.webp,245,
